iso3,country,year,phase_type,ipc_phase,population_total,gdp_current_usd,poverty_rate,brd_deaths,one_sided_deaths,Climate: Standard Deviation,Climate: Temperature change,Crop: Maize (corn) - Production,Crop: Maize (corn) - Yield,Crop: Millet - Production,Crop: Millet - Yield,Crop: Rice - Production,Crop: Rice - Yield,Crop: Sorghum - Production,Crop: Sorghum - Yield,Crop: Wheat - Production,Crop: Wheat - Yield
SSD,South Sudan,2017,proj1,2,10259154,,,484,230,0.510941176,1.360823529,152314,885.2,50079,885.2,13022,885.2,548692,885.2,,
SSD,South Sudan,2017,proj2,2,10259154,,,484,230,0.510941176,1.360823529,152314,885.2,50079,885.2,13022,885.2,548692,885.2,,
SSD,South Sudan,2018,current,3,10122977,,,526,193,0.510941176,1.170470588,149611,850,43616,753.7,12821,852,538957,850,,
SSD,South Sudan,2018,proj1,3,10122977,,,526,193,0.510941176,1.170470588,149611,850,43616,753.7,12821,852,538957,850,,
SSD,South Sudan,2018,proj2,3,10122977,,,526,193,0.510941176,1.170470588,149611,850,43616,753.7,12821,852,538957,850,,
SSD,South Sudan,2019,current,3,10423384,,,110,118,0.510941176,1.070294118,169427,880.5,33558,880.5,24555,880.5,590947,880.5,,
SSD,South Sudan,2019,proj1,3,10423384,,,110,118,0.510941176,1.070294118,169427,880.5,33558,880.5,24555,880.5,590947,880.5,,
SSD,South Sudan,2019,proj2,3,10423384,,,110,118,0.510941176,1.070294118,169427,880.5,33558,880.5,24555,880.5,590947,880.5,,
SSD,South Sudan,2020,current,3,10698467,,,58,,0.510941176,0.623,181003,884.7,35851,883.5,26232,885,631324,885.8,,
SSD,South Sudan,2020,proj1,3,10698467,,,58,,0.510941176,0.623,181003,884.7,35851,883.5,26232,885,631324,885.8,,
SSD,South Sudan,2020,proj2,3,10698467,,,58,,0.510941176,0.623,181003,884.7,35851,883.5,26232,885,631324,885.8,,
